Matricula,Nome,Tipo_Aviao,ATC_AVG_COST_DAY,MAINT_AVG_COST_MIN,FUEL_AVG_COST_MIN
CSTNA,GRAO VASCO,320,8570,10.3,16.52
CSTNB,SOPHIA DE MELLO BREYNER,320,8570,10.3,16.52
CSTNE,SA DE MIRANDA,320,8570,10.3,16.52
CSTOA,FERNAO MENDES PINTO,343,12405,22.3,43.78
CSTOB,D.JOAO DE CASTRO,343,12405,22.3,43.78
CSTOC,VENCESLAU DE MORAES,343,12405,22.3,43.78
CSTOD,D. FRANCISCO DE ALMEIDA,343,12405,22.3,43.78
CSTTA,VIEIRA DA SILVA,319,8471,10.5,15.34
CSTTB,GAGO COUTINHO,319,8471,10.5,15.34
CSTTC,FERNANDO PESSOA,319,8471,10.5,15.34
CSTTD,AMADEU DE SOUZA CARDOSO,319,8471,10.5,15.34
CSTTE,FRANCISCO D'OLLANDA,319,8471,10.5,15.34
CSTTF,CALOUSTE GULBENKIAN,319,8471,10.5,15.34
CSTTG,HUMBERTO DELGADO,319,8471,10.5,15.34
CSTTH,ANTONIO SERGIO,319,8471,10.5,15.34
CSTTI,ECA DE QUEIROS,319,8471,10.5,15.34
CSTNG,MOUZINHO DA SILVEIRA,320,8570,10.3,16.52
CSTTJ,EUSEBIO,319,8471,10.5,15.34
CSTNH,ALMADA NEGREIROS,320,8570,10.3,16.52
CSTNI,AQUILINO RIBEIRO,320,8570,10.3,16.52
CSTTK,MIGUEL TORGA,319,8471,10.5,15.34
CSTTL,ALMEIDA GARRETT,319,8471,10.5,15.34
CSTTM,ALEXANDRE HERCULANO,319,8471,10.5,15.34
CSTTN,CAMILO CASTELO BRANCO,319,8471,10.5,15.34
CSTTO,ANTERO DE QUENTAL,319,8471,10.5,15.34
CSTTP,JOSEFA D'OBIDOS,319,8471,10.5,15.34
CSTNJ,FLORBELA ESPANCA,320,8570,10.3,16.52
CSTNK,TEOFILO BRAGA,320,8570,10.3,16.52
CSTNL,VITORINO NEMESIO,320,8570,10.3,16.52
CSTJE,PERO VAZ DE CAMINHA,321,9626,12,19.23
CSTJF,LUIS VAZ DE CAMOES,321,9626,12,19.23
CSTJG,AMALIA RODRIGUES,321,9626,12,19.23
CSTNM,NATALIA CORREIA,320,8570,10.3,16.52
CSTNN,GIL VICENTE,320,8570,10.3,16.52
CSTMW,LUISA TODI,320,8570,10.3,16.52
CSTTQ,AGOSTINHO DA SILVA,319,8471,10.5,15.34
CSTOF,INFANTE D. HENRIQUE,332,12533,22.3,37.11
CSTOE,PEDRO ALVARES CABRAL,332,12533,22.3,37.11
CSTOG,BARTOLOMEU GUSMAO,332,12533,22.3,37.11
CSTQD,EUGENIO DE ANDRADE,320,8570,10.3,16.52
CSTNP,ALEXANDRE O'NEILL,320,8570,10.3,16.52
CSTOH,NUNO GONGALVES,332,12533,22.3,37.11
CSTOI,DAMIAO DE GOIS,332,12533,22.3,37.11
CSTOJ,D. JOAO II,332,12533,22.3,37.11
CSTOK,PADRE ANTONIO VIEIRA,332,12533,22.3,37.11
CSTOL,JOAO GONCALVES ZARCO,332,12533,22.3,37.11
CSTOM,VASCO DA GAMA,332,12533,22.3,37.11
CSTON,JOAO XXI,332,12533,22.3,37.11
CSTOO,FERNAO DE MAGALHAES,332,12533,22.3,37.11
CSTTR,Soares dos Reis,319,8471,10.5,15.34
CSTTS,GUILHERMINA SUGGIA,319,8471,10.5,15.34
CSTOP,PEDRO NUNES,332,12533,22.3,37.11
CSTNQ,JOSE REGIO,320,8570,10.3,16.52
CSTNR,LUIS DE FREITAS BRANCO,320,8570,10.3,16.52
CSTNS,D. AFONSO HENRIQUES,320,8570,10.3,16.52
CSTNT,EUGENIO DE ANDRADE,320,8570,10.3,16.52
CSTNU,xxx,320,8570,10.3,16.52
CSTNV,xxx,320,8570,10.3,16.52
